report_date,url,domain,creation_date,updated_date,control_over_dns,domain_indexed,known_hosting,is_archived,num_archives,between_archives_distance,phish_archives_distance,is_on_root,is_subdomain
2023-11-05T02:04:12.451000Z,https://bankraiffeisen-ch.firebaseapp.com/?d=1,bankraiffeisen-ch.firebaseapp.com,2012-10-15T18:12:22Z,2023-09-13T09:57:14Z,False,True,True,True,2,211,77,False,True
2023-11-03T20:18:22.108000Z,https://lrstaxclaim.us/,lrstaxclaim.us,2023-10-18T03:21:24Z,2023-10-23T03:21:25Z,True,False,False,False,0,-2,-2,True,False
2023-11-02T07:53:44.768000Z,https://cveplc-kcjcw.formstack.com/forms/jiu,cveplc-kcjcw.formstack.com,2010-03-03T19:07:11Z,2023-02-01T06:45:18Z,True,True,True,True,2,472,59,False,True
2023-11-02T00:42:31.964000Z,https://sahm.fartit.com/p1/index2.php,sahm.fartit.com,2001-03-27T00:01:43Z,2023-01-20T08:02:25Z,True,True,False,True,2,0,520,False,True
2023-11-02T00:42:31.936000Z,https://f005.backblazeb2.com/file/sgwf2w/atttm.html,f005.backblazeb2.com,2016-07-13T19:55:52Z,2023-06-13T19:29:07Z,True,True,True,True,2,4,65,False,True
2023-11-02T00:42:31.915000Z,https://facebooksexa.blogspot.com/,facebooksexa.blogspot.com,2000-07-31T21:38:58Z,2023-06-29T10:00:58Z,True,True,True,True,2,1995,95,False,True
2023-11-02T00:42:31.865000Z,https://mobile-natwestuk-secureapp.com/Login.php,mobile-natwestuk-secureapp.com,2023-11-01T15:13:36Z,2023-11-01T15:13:36Z,True,False,False,False,0,-2,-2,False,False
2023-11-02T00:42:31.858000Z,https://new.express.adobe.com/webpage/bviXj6eHVaKSt,new.express.adobe.com,1986-11-17T05:00:00Z,2023-09-26T06:33:04Z,True,True,True,True,2,404,164,False,True
2023-11-02T00:42:31.751000Z,https://ibt.pks.mybluehost.me/six/ttcopy.html,ibt.pks.mybluehost.me,2016-10-05T23:31:07Z,2023-09-11T06:36:43Z,True,True,True,True,2,2435,94,False,True
2023-11-02T00:42:31.744000Z,https://office1020.duckdns.org/login.php?wa=wsignin1.0&client_id=fe9c55ad-8a94-46b2-a3c3-816799478139,office1020.duckdns.org,2013-04-12T19:58:56Z,2023-06-02T14:09:44Z,True,True,True,True,2,41,106,False,True
2023-11-02T00:42:31.678000Z,https://portal.postnord.com.dk.103-241-67-67.cprapid.com/.PostNord.A.S/a1b2c3/f83859658c26680a8c35a2bd634969cb/login/?,portal.postnord.com.dk.103-241-67-67.cprapid.com,2019-05-16T21:16:20Z,2024-04-17T04:57:25Z,False,True,True,True,2,19,354,False,True
2023-11-02T00:42:31.602000Z,https://645mlo2y.com/Rakuten/index.php,645mlo2y.com,2022-12-04T10:19:49Z,2023-10-30T14:26:46Z,True,False,False,False,0,-2,-2,False,False
2023-11-02T00:42:31.595000Z,https://processingmarijuana.com/Rakuten/index.php,processingmarijuana.com,2022-01-26T19:08:54Z,2023-04-23T07:03:22Z,True,False,False,False,0,-2,-2,False,False
2023-11-02T00:42:31.574000Z,https://bafybeiey52aztbcxkqmxpy7chgbqsa4qw5yqyhiuwoez6z7f73sgcignha.ipfs.cf-ipfs.com/2-11-0029-0ir-9fh3-5h9gf-wbdvh-hf.html,bafybeiey52aztbcxkqmxpy7chgbqsa4qw5yqyhiuwoez6z7f73sgcignha.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,1,-1,69,False,True
2023-11-02T00:42:31.559000Z,https://ipfs.eth.aragon.network/ipfs/bafybeiey52aztbcxkqmxpy7chgbqsa4qw5yqyhiuwoez6z7f73sgcignha/2-11-0029-0ir-9fh3-5h9gf-wbdvh-hf.html,ipfs.eth.aragon.network,2017-03-29T14:11:10Z,2023-03-04T08:42:54Z,True,True,False,True,2,299,69,False,True
2023-11-02T00:42:31.552000Z,https://cloudflare-ipfs.com/ipfs/bafybeiey52aztbcxkqmxpy7chgbqsa4qw5yqyhiuwoez6z7f73sgcignha/2-11-0029-0ir-9fh3-5h9gf-wbdvh-hf.html,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,47,68,False,False
2023-11-02T00:42:31.545000Z,https://ipfs.io/ipfs/QmP3r3W7t6vBd3cNeS9RE7ztrpfYfs5LH9xPx5HEn2yy2r,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,113,False,False
2023-11-02T00:42:31.531000Z,https://ipfs.io/ipfs/bafybeiakrwqqrmqbh6grslks4onfb6xad2icmmr5o72by22sxebxx4hwpm,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,113,False,False
2023-11-02T00:42:31.524000Z,https://bafybeiakrwqqrmqbh6grslks4onfb6xad2icmmr5o72by22sxebxx4hwpm.ipfs.cf-ipfs.com,bafybeiakrwqqrmqbh6grslks4onfb6xad2icmmr5o72by22sxebxx4hwpm.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,1,-1,113,False,True
2023-11-02T00:42:31.516000Z,https://cf-ipfs.com/ipfs/QmYddcfaYWLAm98TYMTdLpod8FW6gVf7jWWbgW2EBHeUoy/2-11-0029-0ir-9fh3-5h9gf-wbdvh-hf.html,bafybeiey52aztbcxkqmxpy7chgbqsa4qw5yqyhiuwoez6z7f73sgcignha.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,1,-1,69,False,True
2023-11-02T00:42:31.509000Z,https://gateway.ipfs.io/ipfs/bafybeiakrwqqrmqbh6grslks4onfb6xad2icmmr5o72by22sxebxx4hwpm,gateway.ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,113,False,True
2023-11-02T00:42:31.502000Z,https://cloudflare-ipfs.com/ipfs/bafybeiakrwqqrmqbh6grslks4onfb6xad2icmmr5o72by22sxebxx4hwpm,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,47,113,False,False
2023-11-02T00:42:31.495000Z,https://infura-ipfs.io/ipfs/QmP3r3W7t6vBd3cNeS9RE7ztrpfYfs5LH9xPx5HEn2yy2r,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,113,False,False
2023-11-02T00:42:31.488000Z,https://cf-ipfs.com/ipfs/QmP3r3W7t6vBd3cNeS9RE7ztrpfYfs5LH9xPx5HEn2yy2r,bafybeiakrwqqrmqbh6grslks4onfb6xad2icmmr5o72by22sxebxx4hwpm.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,1,-1,113,False,True
2023-11-02T00:42:31.466000Z,https://ipfs.io/ipfs/bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,49,False,False
2023-11-02T00:42:31.459000Z,https://gateway.ipfs.io/ipfs/bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq,gateway.ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,49,False,True
2023-11-02T00:42:31.452000Z,https://bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq.ipfs.dweb.link/,bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq.ipfs.dweb.link,2017-02-24T01:05:26.675Z,2023-01-23T21:09:56.296Z,True,True,True,True,1,-1,55,False,True
2023-11-02T00:42:31.438000Z,https://ipfs.io/ipfs/QmQ9fMoZTCyudsVUiLtRfwaCCM73YQZoF27g7JRQ1TNZcP,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,49,False,False
2023-11-02T00:42:31.431000Z,https://ipfs.eth.aragon.network/ipfs/bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq,ipfs.eth.aragon.network,2017-03-29T14:11:10Z,2023-03-04T08:42:54Z,True,True,False,True,2,299,55,False,True
2023-11-02T00:42:31.424000Z,https://bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq.ipfs.infura-ipfs.io,bafybeia2424eqhaamywm5qqldvfuenn4jtxzrumglr7656ra25zrqqp2fq.ipfs.dweb.link,2017-02-24T01:05:26.675Z,2023-01-23T21:09:56.296Z,True,True,True,True,1,-1,55,False,True
2023-11-02T00:42:31.417000Z,https://ipfs.io/ipfs/bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4,ipfs.io,2014-05-16T18:34:42Z,2024-04-16T16:01:34Z,True,True,True,True,2,44,49,False,False
2023-11-02T00:42:31.410000Z,https://infura-ipfs.io/ipfs/QmQ9fMoZTCyudsVUiLtRfwaCCM73YQZoF27g7JRQ1TNZcP,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,49,False,False
2023-11-02T00:42:31.403000Z,https://bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4.ipfs.cf-ipfs.com,bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,1,-1,55,False,True
2023-11-02T00:42:31.396000Z,https://gateway.ipfs.io/ipfs/bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4,gateway.ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,49,False,True
2023-11-02T00:42:31.389000Z,https://bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4.ipfs.dweb.link/,bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4.ipfs.dweb.link,2017-02-24T01:05:26.675Z,2023-01-23T21:09:56.296Z,True,True,True,True,1,-1,55,False,True
2023-11-02T00:42:31.375000Z,https://cloudflare-ipfs.com/ipfs/bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,47,50,False,False
2023-11-02T00:42:31.368000Z,https://bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4.ipfs.infura-ipfs.io,bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4.ipfs.dweb.link,2017-02-24T01:05:26.675Z,2023-01-23T21:09:56.296Z,True,True,True,True,1,-1,55,False,True
2023-11-02T00:42:31.354000Z,https://ipfs.eth.aragon.network/ipfs/bafybeibplb3ku5jiyzmnhfxkwzsctyx3ls2qe2iwz7ukpzvrmvge7kviu4,ipfs.eth.aragon.network,2017-03-29T14:11:10Z,2023-03-04T08:42:54Z,True,True,False,True,2,299,55,False,True
2023-11-02T00:42:31.347000Z,https://ipfs.io/ipfs/QmRXU7Gi5FsqddHSM2vDSTDS9McVcWoeQzqFJZpxq5tDsk,ipfs.io,2014-05-16T18:34:42Z,2024-04-16T16:01:34Z,True,True,True,True,2,44,49,False,False
2023-11-02T00:42:31.340000Z,https://bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe.ipfs.cf-ipfs.com,bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe.ipfs.cf-ipfs.com,2018-12-05T16:31:16Z,2023-03-18T11:05:29Z,True,True,True,True,1,-1,191,False,True
2023-11-02T00:42:31.326000Z,https://ipfs.io/ipfs/bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,191,False,False
2023-11-02T00:42:31.319000Z,https://gateway.ipfs.io/ipfs/bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe,gateway.ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,191,False,True
2023-11-02T00:42:31.312000Z,https://infura-ipfs.io/ipfs/QmRXU7Gi5FsqddHSM2vDSTDS9McVcWoeQzqFJZpxq5tDsk,ipfs.io,2014-05-16T18:34:42Z,2021-12-13T19:49:05Z,True,True,True,True,2,44,49,False,False
2023-11-02T00:42:31.297000Z,https://bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe.ipfs.dweb.link/,bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe.ipfs.dweb.link,2017-02-24T01:05:26.675Z,2023-01-23T21:09:56.296Z,True,True,True,True,1,-1,191,False,True
2023-11-02T00:42:31.290000Z,https://cloudflare-ipfs.com/ipfs/bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe,cloudflare-ipfs.com,2018-05-30T14:15:34Z,2023-05-03T15:48:48Z,True,True,True,True,2,47,191,False,False
2023-11-02T00:42:31.283000Z,https://bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe.ipfs.infura-ipfs.io,bafkreibzyxd4dua47kpplnyg2esygd4y2juf5ntx3kj62gw5iibkjcplfe.ipfs.dweb.link,2017-02-24T01:05:26.675Z,2023-01-23T21:09:56.296Z,True,True,True,True,1,-1,191,False,True
2023-11-01T23:42:09.426000Z,https://posti-parcel.com/public,posti-parcel.com,2023-10-25T14:57:17Z,2023-10-25T14:57:17Z,True,False,False,False,0,-2,-2,False,False
2023-11-01T23:42:09.419000Z,https://www.cibc.verify-app72.com/,www.cibc.verify-app72.com,2023-10-22T01:04:34Z,2023-10-22T01:04:34Z,True,False,False,False,0,-2,-2,False,True
2023-11-01T23:42:09.326000Z,https://new.express.adobe.com/webpage/GyvcwTRs5rjXQ,new.express.adobe.com,1986-11-17T05:00:00Z,2023-09-26T06:33:04Z,True,True,True,True,2,404,222,False,True
